;extern;apple.com;apple.com/us/shop/goto/store;apple.com/mac;apple.com/ipad;apple.com/iphone;apple.com/watch;apple.com/apple-vision-pro;apple.com/airpods;apple.com/tv-home;apple.com/entertainment;apple.com/us/shop/goto/buy_accessories;apple.com/us/search;apple.com/us/shop/goto/bag;apple.com/apple-events;apple.com/us/shop/goto/buy_iphone;apple.com/macbook-air;apple.com/us/shop/goto/buy_mac/macbook_air;apple.com/apple-watch-series-10;apple.com/us/shop/goto/buy_watch/apple_watch_series_10;apple.com/shop/trade-in
extern;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
apple.com;0;1;0;1;1;1;1;1;1;1;1;0;0;0;1;0;1;0;1;0;0
apple.com/us/shop/goto/store;0;1;0;1;1;1;1;1;1;1;1;0;0;0;1;0;1;0;1;0;0
apple.com/mac;0;1;0;1;1;1;1;1;1;1;1;0;0;0;1;0;1;0;1;0;0
apple.com/ipad;0;1;0;1;1;1;1;1;1;1;1;0;0;0;1;0;1;0;1;0;0
apple.com/iphone;0;1;0;1;1;1;1;1;1;1;1;0;0;0;1;0;1;0;1;0;0
apple.com/watch;0;1;0;1;1;1;1;1;1;1;1;0;0;0;1;0;1;0;1;0;0
apple.com/apple-vision-pro;0;1;0;1;1;1;1;1;1;1;1;0;0;0;1;0;1;0;1;0;0
apple.com/airpods;0;1;0;1;1;1;1;1;1;1;1;0;0;0;1;0;1;0;1;0;0
apple.com/tv-home;0;1;0;1;1;1;1;1;1;1;1;0;0;0;1;0;1;0;1;0;0
apple.com/entertainment;0;1;0;1;1;1;1;1;1;1;1;0;0;0;1;0;1;0;1;0;0
apple.com/us/shop/goto/buy_accessories;0;1;0;1;1;1;1;1;1;1;1;0;0;0;1;0;1;0;1;0;0
apple.com/us/search;0;1;0;1;1;1;1;1;1;1;1;0;0;0;1;0;1;0;1;0;0
apple.com/us/shop/goto/bag;0;1;0;1;1;1;1;1;1;1;1;0;0;0;1;0;1;0;1;0;0
apple.com/apple-events;0;1;0;1;1;1;1;1;1;1;1;0;0;0;1;0;1;0;1;0;0
apple.com/us/shop/goto/buy_iphone;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
apple.com/macbook-air;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
apple.com/us/shop/goto/buy_mac/macbook_air;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
apple.com/apple-watch-series-10;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
apple.com/us/shop/goto/buy_watch/apple_watch_series_10;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
apple.com/shop/trade-in;0;1;1;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;0;1;1

