;extern;linkedin.com;linkedin.com/legal/user-agreement?trk=linkedin-tc_auth-button_user-agreement;linkedin.com/legal/privacy-policy?trk=linkedin-tc_auth-button_privacy-policy;linkedin.com/legal/cookie-policy?trk=linkedin-tc_auth-button_cookie-policy;linkedin.com?trk=guest_homepage-basic_nav-header-logo;linkedin.com/legal/user-agreement;linkedin.com/legal/user-agreement-summary;linkedin.com/legal/privacy-policy;linkedin.com/legal/professional-community-policies;linkedin.com/legal/cookie-policy
extern;0;1;1;1;1;1;1;1;1;1;1
linkedin.com;0;0;0;0;0;0;0;0;0;0;0
linkedin.com/legal/user-agreement?trk=linkedin-tc_auth-button_user-agreement;0;1;0;0;0;1;0;0;0;0;0
linkedin.com/legal/privacy-policy?trk=linkedin-tc_auth-button_privacy-policy;0;1;0;0;0;1;0;0;0;0;0
linkedin.com/legal/cookie-policy?trk=linkedin-tc_auth-button_cookie-policy;0;1;0;0;0;1;0;0;0;0;0
linkedin.com?trk=guest_homepage-basic_nav-header-logo;0;1;0;0;0;1;0;0;0;0;0
linkedin.com/legal/user-agreement;0;0;1;1;1;0;1;1;1;0;1
linkedin.com/legal/user-agreement-summary;0;0;1;1;1;0;1;1;1;0;1
linkedin.com/legal/privacy-policy;0;0;1;1;1;0;1;1;1;0;1
linkedin.com/legal/professional-community-policies;0;0;1;1;1;0;1;1;1;0;1
linkedin.com/legal/cookie-policy;0;0;1;1;1;0;1;1;1;0;1
