;extern;supabase.com;supabase.com/enterprise;supabase.com/pricing;supabase.com/docs;supabase.com/blog;supabase.com/dashboard;supabase.com/state-of-startups;supabase.com/contact/sales;supabase.com/database;supabase.com/auth;supabase.com/edge-functions;supabase.com/storage;supabase.com/realtime;supabase.com/modules/vector;supabase.com/docs/guides/api;supabase.com/docs/guides/getting-started/quickstarts/reactjs;supabase.com/docs/guides/getting-started/quickstarts/nextjs;supabase.com/docs/guides/getting-started/quickstarts/redwoodjs;supabase.com/docs/guides/getting-started/quickstarts/flutter;supabase.com/docs/guides/getting-started/quickstarts/kotlin
extern;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
supabase.com;0;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0
supabase.com/enterprise;0;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0
supabase.com/pricing;0;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0
supabase.com/docs;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
supabase.com/blog;0;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0
supabase.com/dashboard;0;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;0;0;1;0;0
supabase.com/state-of-startups;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
supabase.com/contact/sales;0;1;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0
supabase.com/database;0;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0
supabase.com/auth;0;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0
supabase.com/edge-functions;0;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0
supabase.com/storage;0;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0
supabase.com/realtime;0;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0
supabase.com/modules/vector;0;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0
supabase.com/docs/guides/api;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
supabase.com/docs/guides/getting-started/quickstarts/reactjs;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
supabase.com/docs/guides/getting-started/quickstarts/nextjs;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
supabase.com/docs/guides/getting-started/quickstarts/redwoodjs;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
supabase.com/docs/guides/getting-started/quickstarts/flutter;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
supabase.com/docs/guides/getting-started/quickstarts/kotlin;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
